fecha_hora,temperatura,humedad
2026-09-12 15:39:54,24.2,74.3
2026-09-12 15:40:24,24.2,74.9
2026-09-12 15:40:27,24.3,74.8
2026-09-12 15:40:56,24.5,81.4
2026-09-12 15:41:10,24.5,82.1
2026-09-12 15:42:20,24.7,75.9
2026-09-12 15:42:25,24.9,72.1
2026-09-12 15:42:30,24.8,72.0
2026-09-12 15:42:36,24.8,72.0
2026-09-12 15:42:41,24.8,72.1
2026-09-12 15:42:46,24.7,72.1
2026-09-12 15:42:52,24.7,72.1
2026-09-12 15:42:57,24.7,72.2
2026-09-12 15:43:02,24.7,72.3
2026-09-12 15:43:08,24.7,72.4
2026-09-12 15:43:13,24.7,72.5
2026-09-12 15:43:18,24.7,72.6
2026-09-12 15:43:24,24.7,72.7
2026-09-12 15:43:29,24.6,72.7
2026-09-12 15:43:35,24.6,72.8
2026-09-12 15:43:40,24.6,72.9
2026-09-12 15:43:45,24.6,73.1
2026-09-12 15:43:51,24.6,73.2
2026-09-12 15:43:56,24.6,73.2
2026-09-12 15:44:01,24.5,73.2
2026-09-12 15:44:07,24.5,73.5
2026-09-12 15:44:12,24.5,74.3
2026-09-12 15:44:17,24.5,74.1
2026-09-12 15:44:23,24.5,74.3
2026-09-12 15:44:28,24.5,74.2
2026-09-12 15:44:33,24.5,74.1
2026-09-12 15:44:39,24.5,74.1
2026-09-12 15:44:44,24.5,74.0
2026-09-12 15:44:49,24.5,73.9
2026-09-12 15:44:55,24.5,73.9
2026-09-12 15:45:00,24.5,73.9
2026-09-12 15:45:05,24.5,74.0
2026-09-12 15:45:11,24.4,74.0
2026-09-12 15:58:24,24.5,74.1
2026-09-12 15:58:29,23.6,78.5
2026-09-12 15:58:35,23.5,78.4
2026-09-12 15:58:40,23.6,78.8
2026-09-12 15:58:45,23.6,78.8
2026-09-12 15:58:51,23.6,78.7
2026-09-12 15:58:56,23.6,78.3
2026-09-12 15:59:01,23.6,78.3
2026-09-12 15:59:07,23.6,78.3
2026-09-12 15:59:12,23.5,78.4
2026-09-12 15:59:17,23.5,78.3
2026-09-12 15:59:23,23.5,78.2
2026-09-12 15:59:28,23.6,78.3
2026-09-12 15:59:33,23.5,78.2
2026-09-12 15:59:39,23.5,78.3
2026-09-12 15:59:44,23.5,78.4
2026-09-12 15:59:50,23.5,78.4
2026-09-12 15:59:55,23.5,78.4
2026-09-12 16:00:00,23.5,78.4
2026-09-12 16:00:06,23.5,78.3
2026-09-12 16:00:11,23.5,78.3
2026-09-12 16:00:17,23.6,78.3
2026-09-12 16:00:22,23.6,78.3
2026-09-12 16:00:27,23.6,78.1
2026-09-12 16:00:33,23.5,77.9
2026-09-12 16:00:38,23.6,77.8
2026-09-12 16:00:43,23.5,77.7
2026-09-12 16:00:49,23.5,77.7
2026-09-12 16:00:54,23.6,77.7
2026-09-12 16:00:59,23.5,77.6
2026-09-12 16:01:05,23.5,77.7
2026-09-12 16:01:10,23.5,77.7
2026-09-12 16:01:15,23.5,77.7
2026-09-12 16:01:21,23.5,77.7
2026-09-12 16:01:26,23.5,77.9
2026-09-12 16:01:31,23.5,77.8
2026-09-12 16:01:37,23.5,77.8
2026-09-12 16:01:42,23.5,77.7
2026-09-12 16:01:48,23.5,77.7
2026-09-12 16:01:53,23.5,77.9
2026-09-12 16:01:58,23.5,78.1
2026-09-12 16:02:04,23.5,78.2
2026-09-12 16:02:09,23.5,78.1
2026-09-12 16:02:14,23.5,78.2
2026-09-12 16:02:20,23.5,78.3
2026-09-12 16:02:25,23.5,78.4
2026-09-12 16:02:30,23.4,78.4
2026-09-12 16:02:36,23.4,78.5
2026-09-12 16:02:41,23.4,78.5
2026-09-12 16:02:46,23.4,78.5
2026-09-12 16:02:52,23.4,78.5
2026-09-12 16:02:57,23.4,78.5
2026-09-12 16:03:02,23.4,78.6
2026-09-12 16:03:08,23.4,78.7
2026-09-12 16:03:13,23.4,78.6
2026-09-12 16:03:19,23.4,78.7
2026-09-12 16:03:24,23.4,78.7
2026-09-12 16:03:29,23.4,78.8
2026-09-12 16:03:35,23.3,78.7
2026-09-12 16:03:40,23.3,78.8
2026-09-12 16:03:45,23.3,78.9
2026-09-12 16:03:51,23.3,79.0
2026-09-12 16:03:56,23.3,79.1
2026-09-12 16:04:02,23.3,79.1
2026-09-12 16:04:07,23.3,79.1
2026-09-12 16:04:12,23.3,79.1
2026-09-12 16:04:18,23.3,79.2
2026-09-12 16:04:23,23.4,79.2
2026-09-12 16:04:28,23.4,79.0
2026-09-12 16:04:34,23.4,78.9
2026-09-12 16:04:39,23.4,78.9
2026-09-12 16:04:45,23.4,78.8
2026-09-12 16:04:50,23.4,78.8
2026-09-12 16:04:55,23.4,78.8
2026-09-12 16:05:01,23.4,78.8
2026-09-12 16:05:06,23.4,78.8
2026-09-12 16:05:12,23.4,78.7
2026-09-12 16:05:17,23.4,78.8
2026-09-12 16:05:22,23.4,78.8
2026-09-12 16:05:28,23.4,78.9
2026-09-12 16:05:33,23.4,78.9
2026-09-12 16:05:39,23.4,78.9
2026-09-12 16:05:44,23.4,79.0
2026-09-12 16:05:49,23.4,79.0
2026-09-12 16:05:55,23.4,79.2
2026-09-12 16:06:00,23.4,79.3
